bond_key,bond_name,issuer_code,issuer_name,start_date,end_date,outcome,proposed_date,approved_date,rejected_date,event_ids,titles,urls
605128,沿浦转债,605128,上海沿浦,2024-08-03,2024-08-03,rejected,,,2024-08-03,1220788653,上海沿浦金属制品股份有限公司关于不向下修正“沿浦转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-03/1220788653.PDF
688680,海优转债,688680,海优新材,2024-08-03,2024-08-03,rejected,,,2024-08-03,1220788531,关于不向下修正“海优转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-03/1220788531.PDF
000723,美锦转债,000723,美锦能源,2024-08-06,2024-08-06,approved,,2024-08-06,,1220797481,关于美锦转债预计触发转股价格向下修正的提示性公告,https://static.cninfo.com.cn/finalpage/2024-08-06/1220797481.PDF
300511,,300511,雪榕生物,2024-08-06,2024-08-23,approved,2024-08-06,2024-08-23,,1220795392; 1220965362,上海雪榕生物科技股份有限公司关于董事会提议向下修正可转换公司债券转股价格的公告; 上海雪榕生物科技股份有限公司关于向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-06/1220795392.PDF; https://static.cninfo.com.cn/finalpage/2024-08-23/1220965362.PDF
603089,正裕转债,603089,正裕工业,2024-08-06,2024-08-22,approved,2024-08-06,2024-08-22,,1220796637; 1220938671,关于董事会提议向下修正“正裕转债”转股价格的公告; 关于向下修正“正裕转债”转股价格暨转股停复牌的公告,https://static.cninfo.com.cn/finalpage/2024-08-06/1220796637.PDF; https://static.cninfo.com.cn/finalpage/2024-08-22/1220938671.PDF
603685,晨丰转债,603685,晨丰科技,2024-08-06,2024-08-06,rejected,,,2024-08-06,1220795882,晨丰科技关于不向下修正“晨丰转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-06/1220795882.PDF
603956,威派转债,603956,威派格,2024-08-06,2024-08-06,rejected,,,2024-08-06,1220795762,威派格关于不向下修正“威派转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-06/1220795762.PDF
605077,华康转债,605077,华康<em>股</em>份,2024-08-06,2024-08-06,rejected,,,2024-08-06,1220796014,华康股份关于不向下修正“华康转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-06/1220796014.PDF
688357,建龙转债,688357,建龙微纳,2024-08-06,2024-08-06,rejected,,,2024-08-06,1220796489,关于不向下修正“建龙转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-06/1220796489.PDF
300966,共同转债,300966,共同药业,2024-08-07,2024-08-07,rejected,,,2024-08-07,1220814884,关于不向下修正共同转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-07/1220814884.PDF
603669,灵康转债,603669,灵康药业,2024-08-07,2024-08-07,rejected,,,2024-08-07,1220805951,关于不向下修正“灵康转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-07/1220805951.PDF
