announcement_id,event_date,event_type,bond_name,issuer_code,issuer_name,title,url,search_keys
1219185009,2024-02-27,down_reset_trigger_notice,博22转债,603916,苏博特,关于“博22转债”预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185009.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219185132,2024-02-27,down_reset_proposed,,300953,震裕科技,关于董事会提议向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185132.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219185323,2024-02-27,down_reset_trigger_notice,金宏转债,688106,金宏气体,金宏气体：关于“金宏转债”预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185323.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219185339,2024-02-27,down_reset_rejected,泰坦转债,003036,泰坦<em>股</em>份,关于不向下修正泰坦转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185339.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219185501,2024-02-27,down_reset_rejected,凤21转债,603225,新凤鸣,关于不向下修正“凤21转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185501.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219185589,2024-02-27,down_reset_approved,美锦转债,000723,美锦能源,关于美锦转债预计触发转股价格向下修正的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185589.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219185841,2024-02-27,down_reset_rejected,双良转债,600481,双良节能,双良节能系统股份有限公司关于不向下修正“双良转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185841.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219185867,2024-02-27,down_reset_trigger_notice,赛特转债,688398,赛特新材,赛特新材：关于“赛特转债”预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185867.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219186053,2024-02-27,down_reset_rejected,力合转债,688589,力合微,关于不向下修正“力合转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219186053.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219186214,2024-02-27,down_reset_rejected,爱玛转债,603529,爱玛科技,爱玛科技关于不向下修正“爱玛转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219186214.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219186370,2024-02-27,down_reset_rejected,神马转债,600810,神马<em>股</em>份,神马股份关于不向下修正“神马转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219186370.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219186417,2024-02-27,down_reset_trigger_notice,高测转债,688556,高测<em>股</em>份,关于“高测转债”预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219186417.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219186418,2024-02-27,down_reset_approved,芯海转债,688595,芯海科技,芯海科技关于“芯海转债”预计触发转股价格向下修正的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219186418.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219187145,2024-02-27,down_reset_rejected,宏川转债,002930,宏川智慧,关于不向下修正“宏川转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219187145.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219187481,2024-02-27,down_reset_rejected,晶澳转债,002459,晶澳科技,关于不向下修正“晶澳转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219187481.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219198579,2024-02-27,down_reset_approved,,300078,思创医惠,关于向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-27/1219198579.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219196610,2024-02-28,down_reset_rejected,杭电转债,603618,杭电<em>股</em>份,杭电股份：关于不向下修正“杭电转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219196610.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219196836,2024-02-28,down_reset_rejected,镇洋转债,603213,镇洋发展,浙江镇洋发展股份有限公司关于不向下修正“镇洋转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219196836.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219197302,2024-02-28,down_reset_rejected,大丰转债,603081,大丰实业,浙江大丰实业股份有限公司关于不向下修正“大丰转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219197302.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219197637,2024-02-28,down_reset_rejected,宏发转债,600885,宏发<em>股</em>份,宏发股份：关于不向下修正“宏发转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219197637.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219197940,2024-02-28,down_reset_rejected,嘉元转债,688388,嘉元科技,广东嘉元科技股份有限公司关于不向下修正“嘉元转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219197940.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219199010,2024-02-28,down_reset_rejected,,002822,ST中装,关于不向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219199010.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219208673,2024-02-28,down_reset_rejected,海波转债,300517,海波重科,关于不向下修正海波转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219208673.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219208848,2024-02-28,down_reset_rejected,泰福转债,300992,泰福泵业,关于不向下修正泰福转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-28/1219208848.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
